PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,TicketNumber,HasPrefix,TicketLength,TicketIsLine
1,0,3,0,22.0,1,0,7.25,0.0,21171,1,5,0
2,1,1,1,38.0,1,0,71.2833,1.0,17599,1,5,0
3,1,3,1,26.0,0,0,7.925,0.0,3101282,1,7,0
4,1,1,1,35.0,1,0,53.1,0.0,113803,0,6,0
5,0,3,0,35.0,0,0,8.05,0.0,373450,0,6,0
6,0,3,0,,0,0,8.4583,2.0,330877,0,6,0
7,0,1,0,54.0,0,0,51.8625,0.0,17463,0,5,0
8,0,3,0,2.0,3,1,21.075,0.0,349909,0,6,0
9,1,3,1,27.0,0,2,11.1333,0.0,347742,0,6,0
10,1,2,1,14.0,1,0,30.0708,1.0,237736,0,6,0
11,1,3,1,4.0,1,1,16.7,0.0,9549,1,4,0
12,1,1,1,58.0,0,0,26.55,0.0,113783,0,6,0
13,0,3,0,20.0,0,0,8.05,0.0,2151,1,4,0
14,0,3,0,39.0,1,5,31.275,0.0,347082,0,6,0
15,0,3,1,14.0,0,0,7.8542,0.0,350406,0,6,0
16,1,2,1,55.0,0,0,16.0,0.0,248706,0,6,0
17,0,3,0,2.0,4,1,29.125,2.0,382652,0,6,0
18,1,2,0,,0,0,13.0,0.0,244373,0,6,0
19,0,3,1,31.0,1,0,18.0,0.0,345763,0,6,0
20,1,3,1,,0,0,7.225,1.0,2649,0,4,0
21,0,2,0,35.0,0,0,26.0,0.0,239865,0,6,0
22,1,2,0,34.0,0,0,13.0,0.0,248698,0,6,0
23,1,3,1,15.0,0,0,8.0292,2.0,330923,0,6,0
24,1,1,0,28.0,0,0,35.5,0.0,113788,0,6,0
25,0,3,1,8.0,3,1,21.075,0.0,349909,0,6,0
26,1,3,1,38.0,1,5,31.3875,0.0,347077,0,6,0
27,0,3,0,,0,0,7.225,1.0,2631,0,4,0
28,0,1,0,19.0,3,2,263.0,0.0,19950,0,5,0
29,1,3,1,,0,0,7.8792,2.0,330959,0,6,0
30,0,3,0,,0,0,7.8958,0.0,349216,0,6,0
31,0,1,0,40.0,0,0,27.7208,1.0,17601,1,5,0
32,1,1,1,,1,0,146.5208,1.0,17569,1,5,0
33,1,3,1,,0,0,7.75,2.0,335677,0,6,0
34,0,2,0,66.0,0,0,10.5,0.0,24579,1,5,0
35,0,1,0,28.0,1,0,82.1708,1.0,17604,1,5,0
36,0,1,0,42.0,1,0,52.0,0.0,113789,0,6,0
37,1,3,0,,0,0,7.2292,1.0,2677,0,4,0
38,0,3,0,21.0,0,0,8.05,0.0,2152,1,4,0
39,0,3,1,18.0,2,0,18.0,0.0,345764,0,6,0
40,1,3,1,14.0,1,0,11.2417,1.0,2651,0,4,0
41,0,3,1,40.0,1,0,9.475,0.0,7546,0,4,0
42,0,2,1,27.0,1,0,21.0,0.0,11668,0,5,0
43,0,3,0,,0,0,7.8958,1.0,349253,0,6,0
44,1,2,1,3.0,1,2,41.5792,1.0,2123,1,4,0
45,1,3,1,19.0,0,0,7.8792,2.0,330958,0,6,0
46,0,3,0,,0,0,8.05,0.0,23567,1,5,0
47,0,3,0,,1,0,15.5,2.0,370371,0,6,0
48,1,3,1,,0,0,7.75,2.0,14311,0,5,0
49,0,3,0,,2,0,21.6792,1.0,2662,0,4,0
50,0,3,1,18.0,1,0,17.8,0.0,349237,0,6,0
51,0,3,0,7.0,4,1,39.6875,0.0,3101295,0,7,0
52,0,3,0,21.0,0,0,7.8,0.0,39886,1,5,0
53,1,1,1,49.0,1,0,76.7292,1.0,17572,1,5,0
54,1,2,1,29.0,1,0,26.0,0.0,2926,0,4,0
55,0,1,0,65.0,0,1,61.9792,1.0,113509,0,6,0
56,1,1,0,,0,0,35.5,0.0,19947,0,5,0
57,1,2,1,21.0,0,0,10.5,0.0,31026,1,5,0
58,0,3,0,28.5,0,0,7.2292,1.0,2697,0,4,0
59,1,2,1,5.0,1,2,27.75,0.0,34651,1,5,0
60,0,3,0,11.0,5,2,46.9,0.0,2144,1,4,0
61,0,3,0,22.0,0,0,7.2292,1.0,2669,0,4,0
62,1,1,1,38.0,0,0,80.0,,113572,0,6,0
63,0,1,0,45.0,1,0,83.475,0.0,36973,0,5,0
64,0,3,0,4.0,3,2,27.9,0.0,347088,0,6,0
65,0,1,0,,0,0,27.7208,1.0,17605,1,5,0
66,1,3,0,,1,1,15.2458,1.0,2661,0,4,0
67,1,2,1,29.0,0,0,10.5,0.0,29395,1,5,0
68,0,3,0,19.0,0,0,8.1583,0.0,3464,1,4,0
69,1,3,1,17.0,4,2,7.925,0.0,3101281,0,7,0
70,0,3,0,26.0,2,0,8.6625,0.0,315151,0,6,0
71,0,2,0,32.0,0,0,10.5,0.0,33111,1,5,0
72,0,3,1,16.0,5,2,46.9,0.0,2144,1,4,0
73,0,2,0,21.0,0,0,73.5,0.0,14879,1,5,0
74,0,3,0,26.0,1,0,14.4542,1.0,2680,0,4,0
75,1,3,0,32.0,0,0,56.4958,0.0,1601,0,4,0
76,0,3,0,25.0,0,0,7.65,0.0,348123,0,6,0
77,0,3,0,,0,0,7.8958,0.0,349208,0,6,0
78,0,3,0,,0,0,8.05,0.0,374746,0,6,0
79,1,2,0,0.83,0,2,29.0,0.0,248738,0,6,0
80,1,3,1,30.0,0,0,12.475,0.0,364516,0,6,0
81,0,3,0,22.0,0,0,9.0,0.0,345767,0,6,0
82,1,3,0,29.0,0,0,9.5,0.0,345779,0,6,0
83,1,3,1,,0,0,7.7875,2.0,330932,0,6,0
84,0,1,0,28.0,0,0,47.1,0.0,113059,0,6,0
85,1,2,1,17.0,0,0,10.5,0.0,14885,1,5,0
86,1,3,1,33.0,3,0,15.85,0.0,3101278,0,7,0
87,0,3,0,16.0,1,3,34.375,0.0,6608,1,4,0
88,0,3,0,,0,0,8.05,0.0,392086,1,6,0
89,1,1,1,23.0,3,2,263.0,0.0,19950,0,5,0
90,0,3,0,24.0,0,0,8.05,0.0,343275,0,6,0
91,0,3,0,29.0,0,0,8.05,0.0,343276,0,6,0
92,0,3,0,20.0,0,0,7.8542,0.0,347466,0,6,0
93,0,1,0,46.0,1,0,61.175,0.0,5734,1,4,0
94,0,3,0,26.0,1,2,20.575,0.0,2315,1,4,0
95,0,3,0,59.0,0,0,7.25,0.0,364500,0,6,0
96,0,3,0,,0,0,8.05,0.0,374910,0,6,0
97,0,1,0,71.0,0,0,34.6542,1.0,17754,1,5,0
98,1,1,0,23.0,0,1,63.3583,1.0,17759,1,5,0
99,1,2,1,34.0,0,1,23.0,0.0,231919,0,6,0
100,0,2,0,34.0,1,0,26.0,0.0,244367,0,6,0
101,0,3,1,28.0,0,0,7.8958,0.0,349245,0,6,0
102,0,3,0,,0,0,7.8958,0.0,349215,0,6,0
103,0,1,0,21.0,0,1,77.2875,0.0,35281,0,5,0
104,0,3,0,33.0,0,0,8.6542,0.0,7540,0,4,0
105,0,3,0,37.0,2,0,7.925,0.0,3101276,0,7,0
106,0,3,0,28.0,0,0,7.8958,0.0,349207,0,6,0
107,1,3,1,21.0,0,0,7.65,0.0,343120,0,6,0
108,1,3,0,,0,0,7.775,0.0,312991,0,6,0
109,0,3,0,38.0,0,0,7.8958,0.0,349249,0,6,0
110,1,3,1,,1,0,24.15,2.0,371110,0,6,0
111,0,1,0,47.0,0,0,52.0,0.0,110465,0,6,0
112,0,3,1,14.5,1,0,14.4542,1.0,2665,0,4,0
113,0,3,0,22.0,0,0,8.05,0.0,324669,0,6,0
114,0,3,1,20.0,1,0,9.825,0.0,4136,0,4,0
115,0,3,1,17.0,0,0,14.4583,1.0,2627,0,4,0
116,0,3,0,21.0,0,0,7.925,0.0,3101294,1,7,0
117,0,3,0,70.5,0,0,7.75,2.0,370369,0,6,0
118,0,2,0,29.0,1,0,21.0,0.0,11668,0,5,0
119,0,1,0,24.0,0,1,247.5208,1.0,17558,1,5,0
120,0,3,1,2.0,4,2,31.275,0.0,347082,0,6,0
121,0,2,0,21.0,2,0,73.5,0.0,14879,1,5,0
122,0,3,0,,0,0,8.05,0.0,54510,1,5,0
123,0,2,0,32.5,1,0,30.0708,1.0,237736,0,6,0
124,1,2,1,32.5,0,0,13.0,0.0,27267,0,5,0
125,0,1,0,54.0,0,1,77.2875,0.0,35281,0,5,0
126,1,3,0,12.0,1,0,11.2417,1.0,2651,0,4,0
127,0,3,0,,0,0,7.75,2.0,370372,0,6,0
128,1,3,0,24.0,0,0,7.1417,0.0,17369,1,5,0
129,1,3,1,,1,1,22.3583,1.0,2668,0,4,0
130,0,3,0,45.0,0,0,6.975,0.0,347061,0,6,0
131,0,3,0,33.0,0,0,7.8958,1.0,349241,0,6,0
132,0,3,0,20.0,0,0,7.05,0.0,3101307,1,7,0
133,0,3,1,47.0,1,0,14.5,0.0,3337,1,4,0
134,1,2,1,29.0,1,0,26.0,0.0,228414,0,6,0
135,0,2,0,25.0,0,0,13.0,0.0,29178,1,5,0
136,0,2,0,23.0,0,0,15.0458,1.0,2133,1,4,0
137,1,1,1,19.0,0,2,26.2833,0.0,11752,0,5,0
138,0,1,0,37.0,1,0,53.1,0.0,113803,0,6,0
